Date,Gross Value Added - Monthly (Index 1dp) :CVM SA
2021 SEP,98.8
2021 OCT,99
2021 NOV,100
2021 DEC,100.1
2022 JAN,100.3
2022 FEB,100.4
2022 MAR,100.5
2022 APR,100.5
2022 MAY,101
2022 JUN,100.4
2022 JUL,100.7
2022 AUG,100.6
2022 SEP,100
2022 OCT,100.6
