Title,Average_Price
01/04/1968,3594.602239
01/05/1968,3594.602239
01/06/1968,3594.602239
01/07/1968,3716.453163
01/08/1968,3716.453163
01/09/1968,3716.453163
01/10/1968,3696.144675
01/11/1968,3696.144675
01/12/1968,3696.144675
01/01/1969,3757.070137
01/02/1969,3757.070137
01/03/1969,3757.070137
01/04/1969,3817.995599
01/05/1969,3817.995599
01/06/1969,3817.995599
01/07/1969,3858.612573
01/08/1969,3858.612573
01/09/1969,3858.612573
01/10/1969,3899.229548
01/11/1969,3899.229548
01/12/1969,3899.229548
01/01/1970,3919.538035
01/02/1970,3919.538035
01/03/1970,3919.538035
01/04/1970,3980.463497
01/05/1970,3980.463497
01/06/1970,3980.463497
01/07/1970,4163.239882
01/08/1970,4163.239882
01/09/1970,4163.239882
01/10/1970,4163.239882
01/11/1970,4163.239882
01/12/1970,4163.239882
01/01/1971,4264.782318
01/02/1971,4264.782318
01/03/1971,4264.782318
01/04/1971,4386.633241
01/05/1971,4386.633241
01/06/1971,4386.633241
01/07/1971,4650.643575
01/08/1971,4650.643575
01/09/1971,4650.643575
01/10/1971,4853.728447
01/11/1971,4853.728447
01/12/1971,4853.728447
01/01/1972,5158.355756
01/02/1972,5158.355756
01/03/1972,5158.355756
01/04/1972,5645.759449
01/05/1972,5645.759449
01/06/1972,5645.759449
01/07/1972,6498.715913
01/08/1972,6498.715913
01/09/1972,6498.715913
01/10/1972,6965.811119
01/11/1972,6965.811119
01/12/1972,6965.811119
01/01/1973,7757.842121
01/02/1973,7757.842121
01/03/1973,7757.842121
01/04/1973,8143.703378
01/05/1973,8143.703378
01/06/1973,8143.703378
01/07/1973,8692.032534
01/08/1973,8692.032534
01/09/1973,8692.032534
01/10/1973,8793.57497
01/11/1973,8793.57497
01/12/1973,8793.57497
01/01/1974,8915.425893
01/02/1974,8915.425893
01/03/1974,8915.425893
01/04/1974,8935.73438
01/05/1974,8935.73438
01/06/1974,8935.73438
01/07/1974,9016.968329
01/08/1974,9016.968329
01/09/1974,9016.968329
01/10/1974,9138.819253
01/11/1974,9138.819253
01/12/1974,9138.819253
01/01/1975,9179.436227
01/02/1975,9179.436227
01/03/1975,9179.436227
01/04/1975,9423.138074
01/05/1975,9423.138074
01/06/1975,9423.138074
01/07/1975,9707.456895
01/08/1975,9707.456895
01/09/1975,9707.456895
01/10/1975,9808.999331
01/11/1975,9808.999331
01/12/1975,9808.999331
01/01/1976,10012.0842
01/02/1976,10012.0842
01/03/1976,10012.0842
01/04/1976,10276.09454
01/05/1976,10276.09454
01/06/1976,10276.09454
01/07/1976,10519.79638
01/08/1976,10519.79638
01/09/1976,10519.79638
01/10/1976,10682.26428
01/11/1976,10682.26428
01/12/1976,10682.26428
01/01/1977,10763.49823
01/02/1977,10763.49823
01/03/1977,10763.49823
01/04/1977,10925.96613
01/05/1977,10925.96613
01/06/1977,10925.96613
01/07/1977,11250.90192
01/08/1977,11250.90192
01/09/1977,11250.90192
01/10/1977,11596.14621
01/11/1977,11596.14621
01/12/1977,11596.14621
01/01/1978,11860.15654
01/02/1978,11860.15654
01/03/1978,11860.15654
01/04/1978,12428.79418
01/05/1978,12428.79418
01/06/1978,12428.79418
01/07/1978,13302.05913
01/08/1978,13302.05913
01/09/1978,13302.05913
01/10/1978,14236.24955
01/11/1978,14236.24955
01/12/1978,14236.24955
01/01/1979,14987.66357
01/02/1979,14987.66357
01/03/1979,14987.66357
01/04/1979,16145.24735
01/05/1979,16145.24735
01/06/1979,16145.24735
01/07/1979,17384.06507
01/08/1979,17384.06507
01/09/1979,17384.06507
01/10/1979,18541.64884
01/11/1979,18541.64884
01/12/1979,18541.64884
01/01/1980,19272.75438
01/02/1980,19272.75438
01/03/1980,19272.75438
01/04/1980,20044.47689
01/05/1980,20044.47689
